SOA1;SOA2;StimTargetID;StimPair1Bg;StimPair1Target;StimPair2Bg;StimPair2Target;Ring;TargetLuminance;BgLuminance;TargetSelected;TOJ1Correct;TOJ2Correct;Tutorial;InAsteroidField;PresentationSpeed;RingPassSpeed;StationCount;PresentationTurbo;RingPassTurbo;StationExploded;GameTime
0.3;0.3;3;0;2;1;3;1;0.265;0.3451;false;true;true;true;false;1800;1800;0;false;false;false;19.43071
0.3;0.3;2;1;3;0;2;2;0.265;0.3451;true;true;false;true;false;1800;1800;0;false;false;false;27.00724
0.3;0.3;2;3;1;0;2;0;0.265;0.3451;false;true;true;true;false;1800;1800;0;false;false;false;37.31252
0.3;0.3;1;2;0;3;1;2;0.265;0.3451;true;true;false;true;false;1800;1800;0;false;false;false;46.85826
0.3;0.3;3;0;2;1;3;1;0.265;0.3451;false;true;true;true;true;1800;1800;0;false;false;false;54.39291
0.1;-0.1;2;3;1;0;2;2;0.3451;0.3451;true;false;true;false;false;1830.25928;1877.83777;3;false;false;false;82.34801
0.05;0;1;3;1;2;0;0;0.3451;0.3451;false;true;false;false;false;1910.36328;1956.07117;4;false;false;false;90.14115
-0.1;0.05;0;3;1;2;0;2;0.87843;0.3451;false;true;true;false;false;1987.31042;2031.4043;5;false;false;false;97.61206
-0.1;0.05;2;0;2;3;1;3;0.47059;0.3451;true;true;true;false;false;2061.29736;2103.77319;6;false;false;false;104.82642
-0.05;-0.05;3;1;3;0;2;2;0.47059;0.3451;false;false;true;false;false;2132.81396;3426.36987;7;false;true;false;111.20463
-0.05;-0.1;2;3;1;0;2;2;0.47059;0.3451;true;true;true;false;false;2195.19604;3510.83154;8;false;false;false;116.90489
0.1;0.1;2;0;2;1;3;0;0.87843;0.3451;false;true;false;false;false;2252.64282;4307.06836;9;false;false;false;122.34628
0.1;-0.1;2;0;2;1;3;2;0.47059;0.3451;true;false;false;false;false;2304.67969;4134.56836;10;false;false;false;127.70351
0.05;0.05;0;3;1;2;0;3;0.59608;0.3451;false;true;true;false;false;2358.50513;3392.0896;11;false;false;false;133.59323
0.1;0;2;1;3;0;2;1;0.3451;0.3451;false;true;true;false;false;2418.45923;2449.95435;12;false;false;false;139.27551
0.1;-0.1;2;0;2;1;3;3;0.59608;0.3451;true;false;true;false;false;2474.89722;4517.17822;13;false;false;false;144.19183
0;-0.1;2;0;2;3;1;2;0.3451;0.3451;true;false;true;false;false;2521.68408;2553.67578;14;false;false;false;149.61139
0;0.05;2;0;2;1;3;2;0.47059;0.3451;true;false;true;false;false;2577.4939;2611.62939;15;false;false;false;155.37271
-0.05;0;2;3;1;0;2;1;0.47059;0.3451;false;true;true;false;false;2634.95654;2668.32129;16;false;false;false;161.02783
0.05;-0.1;0;1;3;2;0;3;0.87843;0.3451;false;false;false;false;false;2691.34937;2723.91138;17;false;false;false;166.56555
0.05;-0.1;1;3;1;0;2;3;0.47059;0.3451;false;true;true;false;false;2745.00732;2773.72168;18;false;false;false;171.52116
0.05;-0.05;1;3;1;2;0;1;0.59608;0.3451;true;false;true;false;false;2795.69775;4795.0166;19;false;false;false;175.9819
0.1;0;1;3;1;0;2;2;0.47059;0.3451;true;false;false;false;false;2838.34668;3764.87378;20;false;false;false;180.70068
0.1;-0.05;3;2;0;1;3;0;0.3451;0.3451;true;false;true;false;true;2886.97461;4121.67285;23;false;false;false;185.48331
0.1;-0.1;2;1;3;0;2;2;0.59608;0.3451;true;true;true;false;true;2934.55225;3407.40137;23;false;false;false;190.18231
-0.05;-0.1;0;2;0;3;1;2;0.59608;0.3451;false;false;true;false;false;3059.14575;3087.90503;23;false;false;false;202.84877
-0.05;0.1;0;1;3;2;0;0;0.87843;0.3451;true;true;false;false;false;3107.74585;3936.69165;24;false;false;false;207.50667
0;0;3;1;3;2;0;1;0.3451;0.3451;false;true;false;false;false;3154.09351;4414.49854;25;false;false;false;211.84563
-0.1;0;1;3;1;2;0;2;0.87843;0.3451;true;true;true;false;false;3197.14258;4146.875;26;false;false;false;216.07353
0;0.1;3;1;3;0;2;3;0.87843;0.3451;true;false;false;false;false;3239.47998;4395.20996;27;false;true;false;220.37288
0.05;-0.05;1;0;2;3;1;0;0.87843;0.3451;false;true;false;false;false;3281.66113;4696.85938;28;false;true;false;224.49512
-0.05;0;0;2;0;3;1;0;0.87843;0.3451;true;true;true;false;false;3322.83057;4286.59717;29;false;false;false;228.52573
0;-0.1;1;3;1;2;0;2;0.59608;0.3451;true;false;false;false;false;3363.66187;4596.77002;30;false;false;false;232.47067
-0.1;-0.1;1;3;1;2;0;3;0.87843;0.3451;false;false;false;false;false;3402.77905;3428.62231;31;false;false;false;236.81027
0;-0.1;3;2;0;1;3;0;0.3451;0.3451;true;false;true;false;false;3445.41333;3470.1582;32;false;false;false;240.97473
-0.05;0;1;2;0;3;1;1;0.3451;0.3451;true;true;false;false;false;3487.74341;4492.53857;33;false;false;false;244.82399
0.1;-0.05;3;1;3;0;2;0;0.3451;0.3451;true;false;false;false;false;3526.1792;4694.49951;34;false;false;false;248.64134
0;0.05;0;2;0;1;3;1;0.3451;0.3451;true;false;true;false;false;3564.13354;3588.4812;35;false;false;false;252.77371
0.05;-0.05;3;1;3;0;2;2;0.3451;0.3451;false;true;true;false;false;3605.43237;4343.38086;36;false;false;false;256.62991
0.1;-0.1;0;2;0;3;1;2;0.3451;0.3451;false;true;true;false;false;3643.87524;4870.17334;37;false;false;false;260.30139
0.05;0.05;1;3;1;0;2;3;0.3451;0.3451;false;true;false;false;false;3680.39136;3756.33276;38;false;false;false;264.12894
0.1;0.1;2;1;3;0;2;1;0.3451;0.3451;false;true;true;false;false;3718.81958;4471.15625;39;false;false;false;267.8439
-0.05;0;2;0;2;1;3;0;0.3451;0.3451;false;false;false;false;false;3755.70435;3779.18628;40;false;false;false;271.81866
0.05;0.1;3;0;2;1;3;1;0.59608;0.3451;false;true;true;false;true;3795.2417;3963.25195;43;false;false;false;275.54709
0;0;3;1;3;0;2;0;0.87843;0.3451;true;false;true;false;true;3832.56323;3854.88379;43;false;false;false;279.37924
0.05;0;3;1;3;0;2;1;0.87843;0.3451;false;true;true;false;false;4077.43481;3950.99268;43;false;false;false;288.96585
0.1;0.05;2;0;2;1;3;2;0.3451;0.3451;true;false;true;false;false;3966.46704;3988.78516;44;false;false;false;292.73843
0.05;0.1;2;0;2;3;1;1;0.3451;0.3451;false;true;false;false;false;3999.91016;3999.91016;45;false;false;false;296.46576
0.1;-0.1;2;1;3;0;2;2;0.87843;0.3451;true;true;true;false;false;3999.91016;3999.91016;46;false;false;false;300.17828
0.05;0.05;1;3;1;0;2;0;0.87843;0.3451;false;true;true;false;false;3999.91016;3999.91016;47;false;false;false;303.90158
0.1;0;1;2;0;3;1;3;0.59608;0.3451;false;true;true;false;false;3999.91016;3999.91016;48;false;false;false;307.65033
-0.1;-0.1;3;0;2;1;3;2;0.47059;0.3451;false;true;false;false;false;3999.91016;3999.91016;49;false;false;false;311.3801
0;0.1;0;2;0;1;3;2;0.47059;0.3451;false;true;true;false;false;3999.91016;5108.00977;50;false;false;false;314.78934
-0.05;-0.1;3;1;3;2;0;0;0.87843;0.3451;true;true;true;false;false;3999.91016;5428.52734;51;false;true;false;318.1962
0;0.05;2;1;3;0;2;3;0.59608;0.3451;true;false;false;false;false;4043.46802;5500;52;false;true;false;321.44418
-0.1;-0.05;1;0;2;3;1;2;0.3451;0.3451;true;true;true;false;false;4187.17334;5391.67627;53;false;true;false;324.71716
-0.1;0.1;0;2;0;1;3;0;0.47059;0.3451;true;true;false;false;false;3999.91016;5219.50635;54;false;true;false;328.08469
0;-0.05;1;0;2;3;1;2;0.47059;0.3451;true;false;true;false;false;4155.99756;5500;55;false;true;false;331.27527
0.1;0;2;0;2;1;3;3;0.59608;0.3451;true;false;false;false;false;4172.84766;5500;56;false;true;false;334.51547
-0.1;-0.1;3;2;0;1;3;0;0.3451;0.3451;true;true;true;false;false;3999.91016;5485.22852;57;false;true;false;337.87195
0;-0.05;2;0;2;1;3;0;0.59608;0.3451;false;true;true;false;false;3999.91016;4665.57178;58;false;false;false;341.33057
-0.05;0.05;1;3;1;2;0;2;0.3451;0.3451;true;true;true;false;false;3999.91016;5454.04785;59;false;false;false;344.74289
-0.05;-0.05;3;0;2;1;3;1;0.59608;0.3451;false;false;false;false;false;3999.91016;5454.3374;60;false;false;false;348.06866
-0.05;0;1;2;0;3;1;0;0.87843;0.3451;false;true;true;false;true;3999.91016;3999.91016;63;false;false;false;351.63699
-0.05;0.1;3;1;3;0;2;3;0.47059;0.3451;true;true;false;false;true;3999.91016;5006.87061;63;false;false;false;355.03476
0;0.1;2;3;1;0;2;3;0.87843;0.3451;true;true;false;false;false;3999.91016;3999.91016;63;false;false;false;364.5882
-0.1;-0.05;1;3;1;2;0;2;0.59608;0.3451;true;true;false;false;false;3999.91016;3999.91016;64;false;false;false;368.32224
0.1;0.05;3;1;3;0;2;2;0.87843;0.3451;false;true;false;false;false;3999.91016;5451.07617;65;false;false;false;371.74515
0.05;-0.05;3;0;2;1;3;0;0.59608;0.3451;true;true;true;false;false;3999.91016;5406.73145;66;false;false;false;375.09323
0.1;0;2;0;2;1;3;0;0.3451;0.3451;false;true;false;false;false;3999.91016;5376.78271;67;false;false;false;378.45288
-0.1;0;3;0;2;1;3;2;0.87843;0.3451;false;true;true;false;false;3999.91016;4662.45508;68;false;false;false;381.95108
0.05;-0.1;2;1;3;0;2;0;0.59608;0.3451;false;false;false;false;false;3999.91016;5500;69;false;true;false;385.30377
0;-0.1;2;0;2;3;1;1;0.47059;0.3451;false;true;true;false;false;3999.91016;4741.15234;70;false;false;true;388.83759
0;0.05;3;1;3;0;2;3;0.59608;0.3451;true;false;false;false;false;3317.89551;3632.59473;71;false;false;false;393.05185
0.1;0.1;2;0;2;1;3;0;0.59608;0.3451;false;true;false;false;false;3359.79688;3384.58862;72;false;false;false;397.33978
-0.05;0.05;0;2;0;1;3;0;0.47059;0.3451;true;true;false;false;false;3402.59155;3427.54614;73;false;false;false;401.63394
0;-0.1;2;1;3;0;2;1;0.47059;0.3451;false;true;false;false;false;3445.40552;4654.8667;74;false;false;false;405.5621
0.1;-0.05;2;1;3;0;2;2;0.59608;0.3451;true;true;true;false;false;3484.35986;3507.79956;75;false;false;false;409.63519
0.05;-0.1;2;0;2;1;3;3;0.59608;0.3451;true;false;true;false;false;3525.06201;5246.3457;76;false;false;false;413.2995
0;-0.1;1;0;2;3;1;2;0.59608;0.3451;true;false;true;false;false;3560.55615;4082.13892;77;false;false;false;417.13925
0.1;-0.1;0;2;0;1;3;3;0.87843;0.3451;false;true;true;false;false;3599.99731;5282.40234;78;false;false;false;420.79926
0;0;2;1;3;0;2;0;0.47059;0.3451;false;false;true;false;false;3635.39307;5137.88574;79;false;true;false;424.46857
-0.05;-0.05;3;1;3;2;0;3;0.87843;0.3451;true;true;false;false;false;3672.26123;4781.92969;80;false;false;false;428.09827
-0.05;-0.1;3;1;3;2;0;0;0.47059;0.3451;true;true;true;false;true;3709.05298;3731.76733;83;false;false;false;431.99762
0.1;0.1;0;1;3;2;0;0;0.47059;0.3451;true;false;false;false;true;3748.01465;5263.12012;83;false;true;false;435.62131
-0.05;0.1;3;1;3;2;0;3;0.87843;0.3451;true;true;true;false;false;3845.83276;3867.40063;83;false;false;false;445.54117
-0.1;0.05;3;1;3;2;0;0;0.3451;0.3451;true;true;false;false;false;3883.25122;5237.01123;84;false;true;false;449.08755
0.05;0;3;0;2;1;3;0;0.87843;0.3451;true;true;false;false;false;3957.51831;5500;85;false;true;false;452.38184
-0.05;-0.1;1;2;0;3;1;1;0.87843;0.3451;true;true;true;false;false;3950.62695;5066.39014;86;false;false;false;455.7814
